S.No,NAME,Department,GENDER,YEAR,Route 3 - GANDHIPURAM
1,ab,AI & DS,Male,I Year (2022 - 26),Fun Mall
2,cd,CSE,Female,I Year (2022 - 26),Fun Mall
3,ab,AI & DS,Male,I Year (2022 - 26),Gandhipuram (R V hotel)
4,cd,MECH,Male,I Year (2022 - 26),Hopes (Alagu pharmacy)
5,ab,CS & BS,Male,I Year (2022 - 26),Hopes (Alagu pharmacy)
6,cd,EEE,Male,I Year (2022 - 26),Hopes (Alagu pharmacy)
7,ab,MECH,Female,I Year (2022 - 26),Hopes (Alagu pharmacy)
8,cd,Architecture,Female,I Year (2022 - 26),Hopes (Alagu pharmacy)
9,ab,CSE,Female,I Year (2022 - 26),Kalyan Silks  (100 feet road)
10,cd,AI & DS,Male,I Year (2022 - 26),Kalyan Silks  (100 feet road)
11,ab,CSE,Male,I Year (2022 - 26),Kalyan Silks  (100 feet road)
12,cd,EEE,Female,I Year (2022 - 26),Kalyan Silks  (100 feet road)
13,ab,AI & DS,Male,I Year (2022 - 26),Lakshmi Mills (Axis bank)
14,cd,ECE,Male,I Year (2022 - 26),Lakshmi Mills (Axis bank)
15,ab,CS & BS,Male,I Year (2022 - 26),Lakshmi Mills (Axis bank)
16,cd,CS & BS,Male,I Year (2022 - 26),Lakshmi Mills (Axis bank)
17,ab,ECE,Female,I Year (2022 - 26),Peelamedu (Near bridge)
18,cd,EEE,Female,I Year (2022 - 26),Peelamedu (Near bridge)
19,ab,CSE,Male,II Year (2021 - 25),Fun Mall
20,cd,Architecture,Female,II Year (2021 - 25),Gandhipuram (R V hotel)
21,ab,EEE,Female,II Year (2021 - 25),Gandhipuram (R V hotel)
22,cd,EEE,Female,II Year (2021 - 25),Gandhipuram (R V hotel)
23,ab,Architecture,Female,II Year (2021 - 25),Gandhipuram (R V hotel)
24,cd,EEE,Female,II Year (2021 - 25),Gandhipuram (R V hotel)
25,ab,Architecture,Female,II Year (2021 - 25),Gandhipuram (R V hotel)
26,cd,CSE,Male,II Year (2021 - 25),Lakshmi Mills (Axis bank)
27,ab,Architecture,Female,II Year (2021 - 25),P.N. Palayam (Bus stop)
28,cd,ECE,Male,II Year (2021 - 25),Peelamedu (Near bridge)
29,ab,CSE,Female,II Year (2021 - 25),Peelamedu (Near bridge)
30,cd,ECE,Male,II Year (2021 - 25),Peelamedu (Near bridge)
31,ab,Civil,Female,II Year (2021 - 25),Peelamedu (Near bridge)
32,cd,ECE,Female,II Year (2021 - 25),Peelamedu (Near bridge)
33,ab,CSE,Female,II Year (2021 - 25),Peelamedu (Near bridge)
34,cd,ECE,Female,II Year (2021 - 25),Peelamedu (Near bridge)
35,ab,CSE,Female,III Year (2020 - 24),Fun Mall
36,cd,ECE,Male,III Year (2020 - 24),Gandhipuram (R V hotel)
37,ab,EEE,Female,III Year (2020 - 24),Kalyan Silks  (100 feet road)
38,cd,EEE,Female,III Year (2020 - 24),Peelamedu (Near bridge)
39,ab,ECE,Female,III Year (2020 - 24),Peelamedu (Near bridge)
40,cd,CSE,Female,IV Year (2019 - 23),Fun Mall
41,ab,CSE,Female,IV Year (2019 - 23),Fun Mall
42,cd,CSE,Female,IV Year (2019 - 23),Fun Mall
43,ab,ECE,Female,IV Year (2019 - 23),Peelamedu (Near bridge)
44,cd,ECE,Female,IV Year (2019 - 23),Peelamedu (Near bridge)
45,ab,CSE,Female,IV Year (2019 - 23),Peelamedu (Near bridge)
